A	a	A_pl.wav	A_pl.wav	Arbuz	se_Adam.wav	adam80.jpg
Ą	ą	ą_pl.wav	ą_pl.wav	-	se_bil.wav	car80.jpg
B	b	B_pl.wav	B_pl.wav	Biedronka	se_cykel.wav	bicicletta80.jpg
C	c	C_pl.wav	C_pl.wav	Cyrkiel	se_dörr.wav	porta80.jpg
Ć	ć	Ć_pl.wav	Ć_pl.wav	Ćma	se_Eva.wav	eva80.jpg
D	d	D_pl.wav	D_pl.wav	Drzwi	se_fisk.wav	pesce80.jpg
E	e	E_pl.wav	E_pl.wav	Eklerka	se_glass.wav	gelato80.jpg
Ę	ę	Ę_pl.wav	Ę_pl.wav	-	se_hund.wav	cane80.jpg
F	f	F_pl.wav	F_pl.wav	Flaga 	se_Ida.wav	ida80.jpg
G	g	G_pl.wav	G_pl.wav	Gołąb	se_jacka.wav	giacca80.jpg
H	h	H_pl.wav	H_pl.wav	Hak	se_katt.wav	cat80.jpg
I	i	I_pl.wav	I_pl.wav	Igła	se_lampa.wav	lampada80.jpg
J	j	J_pl.wav	J_pl.wav	Jajko	se_morot.wav	carota80.jpg
K	k	K_pl.wav	K_pl.wav	Kot	se_nyckel.wav	key.jpg
L	l	L_pl.wav	L_pl.wav	Lampa	se_ost.wav	Parmigiano_reggiano_80.jpg
Ł	ł	Ł_pl.wav	Ł_pl.wav	Łódka	se_päron.wav	pear80.jpg
M	m	M_pl.wav	M_pl.wav	Mysz		QuestionMark.png
N	n	N_pl.wav	N_pl.wav	Nić	se_radio.wav	radio80.jpg
Ń	ń	Ń_pl.wav	Ń_pl.wav	-	se_sol.wav	Soleil80.JPG
O	o	O_pl.wav	O_pl.wav	Okulary	se_TV.wav	TV-Braun_HF_1_80.jpg
Ó	ó	Ó_pl.wav	Ó_pl.wav	Ósemka	se_uggla.wav	owl80.jpg
P	p	P_pl.wav	P_pl.wav	Pilot	se_vaska.wav	borsetta80.jpg
R	r	R_pl.wav	R_pl.wav	Rower		QuestionMark.png
S	s	S_pl.wav	S_pl.wav	Smok		QuestionMark.png
Ś	ś	Ś_pl.wav	Ś_pl.wav	Ślimak	se_yxa.wav	ascia80.jpg
T	t	T_pl.wav	T_pl.wav	Truskawka		QuestionMark.png
U	u	U_pl.wav	U_pl.wav	Ul 	se_åsna.wav	asino80.jpg
W	w	W_pl.wav	W_pl.wav	Wiatrak	se_äpple.wav	mela80.jpg
X	x	X_pl.wav	X_pl.wav	-	se_öga.wav	occhio80.jpg
Y	y	Y_pl.wav	Y_pl.wav	-		
Z	z	Z_pl.wav	Z_pl.wav	Ząb		
Ź	ź	Ź_pl.wav	Ź_pl.wav	Źrebak		
Ż	ż	Ż_pl.wav	Ż_pl.wav	Żaba		
